input_word	correct_term	occurrences
zero	0	0
one	1	1
two	2	0
three	3	1
four	4	2
five	5	1
six	6	4
seven	7	0
eight	8	2
nine	9	0
ten	10	0
eleven	11	0
twelve	12	0
thirteen	13	0
fourteen	14	0
fifteen	15	0
sixteen	16	0
seventeen	17	0
eighteen	18	0
nineteen	19	0
adutl	adult	0
adutls	adult	2
adults	adult	21
children	child	7
years	year	2993
yr	year	4
yrs	year	12
yera	year	0
yeras	year	3
yeays	year	1
yesrs	year	1
months	month	544
mo	month	7
mos	month	2
monts	month	1
motnhs	month	1
weeks	week	2304
wk	week	57
wks	week	15
weels	week	4
weks	week	1
wo	week	5
wekk	week	0
wekks	week	1
days	day	93
hours	hour	14
hr	hour	0
hrs	hour	0
