tcell_id	h_age
1465507	adult
1465509	adult
1350992	newborn
1336773	6-8 week
1325922	4 week
1325927	4 week
1325936	4 week
1325941	4 week
1472708	1 year
1068372	6-8 week
1469268	1 month
1465513	adult
1466148	1 year
1465516	adult
1469946	1 month
1469949	1 month
1469270	1 month
2130600	child
1068323	6-8 week
1068437	6-8 week
2827339	adult
2130604	child
1022937	8-12 week
1470366	1 year
2827340	adult
1067962	6-8 week
2130606	child
2130605	child
2827348	adult
1336771	6-8 week
1469956	1 month
1469941	1 month
1465518	adult
1469940	1 month
1469942	1 month
1469948	1 month
1469269	1 month
1469959	1 month
1421052	8-12 week
1469939	1 month
1325932	4 week
1325937	4 week
1469267	1 month
1336767	6-8 week
1469952	1 month
1469953	1 month
1469955	1 month
1469957	1 month
1469266	1 month
1462120	newborn
2130599	child
1031070	8-12 week
2442838	8 week
2130601	child
1068322	6-8 week
2855186	adult
2855174	adult
2855199	adult
2855215	adult
1379226	1 month
2130602	child
2130603	child
1325925	4 week
1325926	4 week
1325929	4 week
1325930	4 week
1325934	4 week
1325935	4 week
1325939	4 week
1325942	4 week
1981184	adult
1981183	adult
1324785	7-12 week
1336768	6-8 week
1350857	newborn
1350967	newborn
1350972	newborn
1466145	1 year
1466142	1 year
1465503	adult
1466143	1 year
1466144	1 year
1465502	adult
1465505	adult
1465506	adult
1465510	adult
1465517	adult
1464385	newborn
1472698	1 year
1472702	1 year
1465515	adult
1472705	1 year
1469314	1 month
1470323	1 year
1469945	1 month
1470325	1 year
1470326	1 year
1470370	1 year
1068324	6-8 week
1469951	1 month
1325923	4 week
1470324	1 year
1068356	6-8 week
1336769	6-8 week
1325933	4 week
16816	1 week
1469954	1 month
1325924	4 week
1465504	adult
1465511	adult
16820	1 week
1068336	6-8 week
1469316	1 month
1469943	1 month
1469315	1 month
1469944	1 month
1068435	6-8 week
1639793	1 month
1641341	adult
1641342	adult
1641335	adult
1641337	adult
1641339	adult
1641340	adult
1641344	adult
1641343	adult
1641400	adult
1641408	adult
1641412	adult
1472691	1 year
1597679	newborn
1661940	adult
1660909	adult
1654658	1 year
1639795	3 month
1639487	1 month
1641293	adult
1648009	neonate
1648025	neonate
1648032	neonate
1648039	neonate
1648040	neonate
1648041	neonate
1648042	neonate
1068347	6-8 week
1462118	newborn
1466146	1 year
1350965	newborn
1350968	newborn
1350997	newborn
1325943	4 week
1325944	4 week
1469960	1 year
1336772	6-8 week
1350969	newborn
1350996	newborn
1469958	1 month
1472704	1 year
1472703	1 year
1379225	1 day
1325938	4 week
1325931	4 week
1325928	4 week
1370635	adult
1350964	newborn
1068345	6-8 week
1067972	6-8 week
1465512	adult
1350971	newborn
1379199	1 day
1470327	1 year
1470328	1 year
1068337	6-8 week
1469938	1 month
1469947	1 month
1325940	4 week
1350970	newborn
1472707	1 year
1324740	7-12 week
1469950	1 month
1469935	1 month
1488910	1 year
1488911	1 year
1488912	1 year
1488913	1 year
1488928	1 year
1488929	1 year
1488930	1 year
1488890	1 year
1488926	1 year
1488927	1 year
1488892	1 year
1488893	1 year
1488894	1 year
1488895	1 year
1488896	1 year
1488897	1 year
1488898	1 year
1488900	1 year
1488901	1 year
1488902	1 year
1488903	1 year
1488899	1 year
1488891	1 year
1488923	1 year
1514045	6 week
1514057	6 week
1514048	6 week
1514058	6 week
1514049	6 week
1514050	6 week
1502115	adult
1503867	adult
1503869	adult
1503870	adult
1502189	adult
1503862	adult
1503868	adult
1503871	adult
1503872	adult
1503873	adult
1503877	adult
1503865	adult
1503863	adult
1502059	adult
1503864	adult
1586614	newborn
2827383	adult
1637739	1 month
1637745	1 month
1640316	juvenile
1640323	juvenile
1640324	juvenile
1640325	juvenile
1640326	juvenile
1641391	adult
1640725	4 week
1640724	4 week
1603601	adult
1603608	adult
1603612	adult
1603613	adult
1603609	adult
1603607	adult
1603610	adult
1603611	adult
1639813	3 month
1466147	1 year
1465514	adult
1470369	1 year
1067963	6-8 week
1068335	6-8 week
1472706	1 year
1882530	1 week
1842031	adult
1812010	adult
1812011	adult
1833010	adult
1833008	adult
1833421	1 month
1833422	1 month
1833423	1 month
1833424	1 month
1833429	1 month
1833430	1 month
1833431	1 month
1833432	1 month
1841654	1 month
1833007	adult
1833428	1 month
1841666	1 month
1841668	1 month
1841661	1 month
1841669	1 month
1841670	1 month
1841672	1 month
1841656	1 month
1841657	1 month
1841660	1 month
1841662	1 month
1841663	1 month
1841664	1 month
1841665	1 month
1841673	1 month
1833426	1 month
1833427	1 month
2827341	adult
1662020	adult
1663919	adult
1824862	adult
1681495	adult
1801509	adult
1801502	neonate
1801525	neonate
1799169	newborn
1801558	neonate
1801559	adult
1801560	neonate
1799170	newborn
1799171	newborn
1799174	newborn
1801552	adult
1801561	adult
1799173	newborn
1799175	newborn
1799179	newborn
1799180	newborn
1799178	newborn
1799181	newborn
1799184	newborn
1800938	newborn
1799182	newborn
1799183	newborn
1799189	newborn
1800941	newborn
1800943	newborn
1799190	newborn
1800951	newborn
1803615	newborn
1803616	newborn
1803618	adult
1803620	adult
1803631	adult
1803601	newborn
1801383	newborn
1350966	newborn
1350963	newborn
1793471	newborn
1965112	adult
1965157	adult
1965128	adult
1959437	adult
1462119	newborn
1833009	adult
1824846	adult
1824861	adult
1824863	adult
1824844	adult
1824851	adult
1824848	adult
2073381	adult
2073383	adult
2073384	adult
2073385	adult
2073386	adult
2073387	adult
2073388	adult
2030877	adult
2030878	adult
2030879	adult
2030880	adult
2030881	adult
2030882	adult
2030883	adult
2030884	adult
2030885	adult
2030886	adult
2030887	adult
2030888	adult
2030889	adult
1859965	15 day
1861036	15 day
1833420	1 month
1833425	1 month
1833434	1 month
1841655	1 month
1841667	1 month
1927783	adult
1927784	adult
1927785	adult
1927786	adult
1927787	adult
1927807	adult
1927806	adult
1927824	adult
1927838	adult
1927839	adult
1927840	adult
1927841	adult
1927842	adult
1927843	adult
1927844	adult
1927845	adult
1927846	adult
1927847	adult
1927848	adult
1927851	adult
1927853	adult
1927854	adult
1927855	adult
1927856	adult
1927857	adult
1927858	adult
1927788	adult
1927765	adult
1927766	adult
1927767	adult
1927768	adult
1927769	adult
1927771	adult
1927772	adult
1927773	adult
1927777	adult
1927770	adult
1927774	adult
1927775	adult
1927776	adult
1927778	adult
1927779	adult
1927780	adult
1927781	adult
1927782	adult
1927789	adult
1927790	adult
1927791	adult
1927795	adult
1927792	adult
1927793	adult
1927794	adult
1938372	adult
1938373	adult
1938379	adult
1938380	adult
1938384	adult
1938385	adult
1938386	adult
1938387	adult
1938388	adult
1938389	adult
1938390	adult
1938391	adult
1938371	adult
1938344	adult
1938340	adult
1938341	adult
1938343	adult
1938346	adult
1938347	adult
1938348	adult
1938349	adult
1938350	adult
1938351	adult
1938352	adult
1938353	adult
1938354	adult
1938374	adult
1938375	adult
1938376	adult
1938377	adult
1938378	adult
1938381	adult
1938382	adult
1938383	adult
1938356	adult
1938357	adult
1938358	adult
1938359	adult
1938360	adult
1938361	adult
1938362	adult
1938363	adult
1938364	adult
1938365	adult
1938366	adult
1938367	adult
1938368	adult
1938369	adult
1938370	adult
2021554	1 week
1944500	adult
1944501	adult
1944502	adult
1944503	adult
1944504	adult
1944505	adult
1944506	adult
1944509	adult
1958986	adult
1958987	adult
1944516	adult
1944508	adult
1944510	adult
1944511	adult
1944512	adult
1944513	adult
1944514	adult
1944515	adult
1965175	adult
1965111	adult
1965187	adult
1965188	adult
1965189	adult
1965145	adult
