tcell_id	h_age
1312612	29-38
1345655	31-39
1345695	31-39
1345697	31-39
1345706	31-39
1345714	31-39
1470431	73
5795	7-79
1345685	31-39
1345643	31-39
1345647	31-39
1312644	32
1312647	32-42
1289752	37-57
1884843	52-68
1361096	17-57
1091151	18-72
1464621	6 months-1.1 year
1412629	4 months- 4 years
1412624	4 months- 4 years
1361103	17-57
1361106	17-57
1368424	17-57
1068566	35
1068365	35
15881	18-61
15861	18-61
1068421	35
1327960	32
1068464	35
1339579	17-88
1068510	35
1327899	30
1068459	35
1068477	35
1068405	35
1341773	1 month-old-81 years-old
1464636	6 months-1.1 year
1464639	6 months-1.1 year
1470440	73
1464646	6 months-1.1 year
1327959	32
1278840	43-46
1278848	43-46
1068521	35
1003653	27-60
16804	30-86
1464628	6 months-1.1 year
1068498	35
1884845	52-68
5798	7-79
1462111	5 months-3 years
1361097	17-57
1361109	17-57
1462099	5 months-3 years
15868	18-61
1327951	50
1345626	31-39
1345704	31-39
1278856	29-38
1278862	29-38
1288925	41-55
1339548	17-88
1345705	31-39
1345621	31-39
1345693	31-39
1289445	20-65
1289401	20-65
1327961	32
1345636	31-39
1288923	41-55
1288924	41-55
1278858	29-38
1334088	6 months to 2 years
1345645	31-39
1345656	31-39
1288919	41-55
1341770	1 month-old-81 years-old
1341777	1 month-old-81 years-old
1289760	37-57
1470434	73
1462091	5 months-3 years
1368421	17-57
1068427	35
1088978	18-72
1091150	18-72
1095459	18-72
1470443	73
1086747	18-72
1412638	4 months- 4 years
1412647	4 months- 4 years
3183	21
5796	7-79
1408558	47.6
16795	30-86
1278849	43-46
16796	50-76
1327957	32
1341778	1 month-old-81 years-old
1341780	1 month-old-81 years-old
1341772	1 month-old-81 years-old
1361108	17-57
16812	50-76
16790	30-86
1289450	20-65
16791	30-86
1345631	31-39
1345632	31-39
1464648	6 months-1.1 year
1464616	6 months-1.1 year
1464631	6 months-1.1 year
1361098	17-57
1003654	27-60
16792	30-86
1276709	31-80
1289448	20-65
1307609	31-37
7818	21
1345688	31-39
1345638	31-39
1091144	18-72
1088973	18-72
1288914	41-55
1288890	41-55
1288898	41-55
1289744	37-57
1345639	31-39
1345644	31-39
1288899	41-55
1288900	41-55
1345627	31-39
15873	18-61
1345646	31-39
1088967	18-72
1345622	31-39
1345624	31-39
1288911	41-55
1288912	41-55
1088975	18-72
1068432	35
1312609	29-38
1312610	29-38
1345692	31-39
1345694	31-39
1345699	31-39
1278863	29-38
1278838	43-46
1345635	31-39
1345649	31-39
1345686	31-39
1068573	35
1068398	35
1312611	29-38
1288928	41-55
1345687	31-39
1470414	73
1470428	73
1462096	5 months-3 years
1462110	5 months-3 years
1470435	73
1470444	73
1095471	18-72
15337	8-10
1036516	47
1003633	27-60
1703027	23-32
1278841	43-46
1003651	27-60
1278839	43-46
1003626	27-60
